слово,перевод,alienable,inal,количество,количество с посс,процент с посс,семантическая группа,varietyALL,varuetyal,varietyinal,1sgAl,1plAl,2sgAl,2plAl,3sgAl,3plAl,relAl,1sgInal,1plInal,2sgInal,2plInal,3sgInal,3plInal,relInal
къупшъхьэ,кости,124,11,781,135,0.1728553137,внутренние органы,10,7,3,1,1,1,1,1,1,1,1,0,0,0,1,1,0
куцIы,мозг,0,7,99,7,0.07070707071,внутренние органы,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
тхьабыл,легкие,28,24,114,52,0.4561403509,внутренние органы,7,4,3,0,0,1,0,1,1,1,1,0,0,0,1,1,0
кIэтIый,кишки,8,6,109,14,0.128440367,внутренние органы,9,5,4,0,0,1,1,1,1,1,1,1,0,1,1,0,0
жъэжъый,почки,24,0,64,24,0.375,внутренние органы,3,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
лъынтф,вены,25,11,386,36,0.0932642487,внутренние органы,7,5,2,1,1,1,0,1,1,0,1,0,0,0,1,0,0
нэбзыц,ресница,0,37,86,37,0.4302325581,волосы и ногти,4,0,4,0,0,0,0,0,0,0,1,0,0,0,1,1,1
Iэбжъанэ,ногти на руке,0,29,55,29,0.5272727273,волосы и ногти,5,0,5,0,0,0,0,0,0,0,1,0,1,1,1,0,1
лъэбжъанэ,ногти на ноге,0,10,20,10,0.5,волосы и ногти,6,0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1
шъхьацы,волосы,2,82,427,84,0.1967213115,волосы и ногти,7,2,5,1,0,1,0,0,0,0,1,0,1,0,1,1,1
напцэ,бровь,0,55,254,55,0.2165354331,волосы и ногти,4,0,4,0,0,0,0,0,0,0,1,0,0,0,1,1,1
жакIэ,усы,0,94,1389,94,0.06767458603,волосы и ногти,6,0,6,0,0,0,0,0,0,0,1,1,0,1,1,1,1
пакIэ,борода,1,161,1028,162,0.1575875486,волосы и ногти,7,1,6,0,0,0,0,1,0,0,1,0,1,1,1,1,1
пкIантI,пот,13,0,311,13,0.04180064309,жидкости,4,4,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
Iупсы,слюна,1,11,96,12,0.125,жидкости,5,1,4,0,0,0,0,0,0,1,1,0,1,0,1,1,0
нэпсы,слезы,8,112,856,120,0.1401869159,жидкости,10,5,5,0,1,1,0,1,1,1,1,1,0,0,1,1,1
тыркъо,шрам,37,0,250,37,0.148,повреждения,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
тхыкъипш,горб,1,0,1,1,1,повреждения,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
итхъыгъ,царапина,1,0,145,1,0.006896551724,повреждения,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Iэбжым,кулак,4,26,200,30,0.15,часть конечности,6,3,3,1,0,0,0,1,1,0,1,0,1,0,1,0,0
Iэхъуамбэ,палец на руке,1,122,231,123,0.5324675325,часть конечности,6,1,5,0,0,1,0,0,0,0,1,0,1,0,1,1,1
лъэхъуамбэ,палец на ноге,0,12,16,12,0.75,часть конечности,3,0,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0
лъэдакъэ,пятка,0,90,150,90,0.6,часть конечности,5,0,5,0,0,0,0,0,0,0,1,1,1,0,1,1,0
Iэтхьэцу,кисть,0,1,1,1,1,часть конечности,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Iэнтэгъу,локоть,0,58,240,58,0.2416666667,часть конечности,7,0,7,0,0,0,0,0,0,0,1,1,1,1,1,1,1
лъэгуанджэ,колени,1,114,210,115,0.5476190476,часть конечности,8,1,7,0,0,0,0,1,0,0,1,1,1,1,1,1,1
копкъ,бедро,11,61,185,72,0.3891891892,часть конечности,5,2,3,0,0,0,0,1,1,0,1,0,0,0,1,1,0
блыпкъ,плечо,1,157,348,158,0.4540229885,часть конечности,5,1,4,0,1,0,0,0,0,0,1,0,0,0,1,1,1
лъакъо,нога,0,1318,1971,1318,0.6686960934,часть конечности,7,0,7,0,0,0,0,0,0,0,1,1,1,1,1,1,1
тхьакӏум,ухо,3,900,1880,903,0.4803191489,часть лица,9,2,7,1,0,1,0,0,0,0,1,1,1,1,1,1,1
пэгъуан,ноздря,0,5,13,5,0.3846153846,часть лица,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0
нэгушъу,щека,0,64,157,64,0.4076433121,часть лица,6,0,6,0,0,0,0,0,0,0,1,1,0,1,1,1,1
нэкӏушъхьэ,щека,0,159,186,159,0.8548387097,часть лица,5,0,5,0,0,0,0,0,0,0,1,1,0,0,1,1,1
нэкӏушъу,щека,0,17,28,17,0.6071428571,часть лица,3,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,1
бзэгу,язык,1,228,810,229,0.2827160494,часть лица,7,1,6,0,0,0,0,0,1,0,1,1,0,1,1,1,1
,,295,3982,,,,,,,,7,5,8,2,12,12,7,27,12,12,11,29,23,19
,,,,,,,,max=14,max=7,max=7,,,,,,,,,,,,,,
